epoch,iteration,total_loss,heatmap_loss,projection_loss
40,66849,1.0421687875350472e-05,9.026914085552562e-06,1.3947741308584227e-06
40,66859,9.195066922984552e-06,8.028012416616548e-06,1.1670542789943283e-06
40,66869,9.06511013454292e-06,7.908834049885627e-06,1.1562760846572928e-06
40,66879,9.796019185159821e-06,8.577796506870072e-06,1.2182223372292356e-06
40,66889,1.1999240086879581e-05,9.782020242710132e-06,2.2172196167957736e-06
40,66899,1.3816528735333122e-05,1.0643408131727483e-05,3.1731208309793146e-06
40,66909,1.0927277799055446e-05,9.27237852010876e-06,1.6548989378861734e-06
40,66919,1.5559115126961842e-05,1.1284805623290595e-05,4.2743095036712475e-06
40,66929,1.0581085007288493e-05,8.998117664305028e-06,1.5829668882361148e-06
40,66939,1.1516035556269344e-05,9.23792140383739e-06,2.2781139250582783e-06
40,66949,9.270837836083956e-06,8.271636033896357e-06,9.992016885007615e-07
40,66959,8.233992048189975e-06,7.491790711355861e-06,7.422017915814649e-07
40,66969,1.3567312635132112e-05,8.914832505979575e-06,4.6524796744051855e-06
40,66979,8.708870154805481e-06,7.778312465234194e-06,9.305572348239366e-07
40,66989,8.73432873049751e-06,7.958647984196432e-06,7.756811442050093e-07
40,66999,9.008208508021198e-06,7.973062565724831e-06,1.0351454875490163e-06
40,67009,1.1015485142706893e-05,8.958858416008297e-06,2.056626271951245e-06
40,67019,1.2210825843794737e-05,1.0308671335224062e-05,1.9021541675101616e-06
40,67029,9.166104973701295e-06,7.85046722739935e-06,1.3156380873624585e-06
40,67039,8.610563781985547e-06,7.630399522895459e-06,9.801640317164129e-07
40,67049,8.4010853242944e-06,7.588118478452088e-06,8.129671869028243e-07
40,67059,1.0614389793772716e-05,9.161799425783101e-06,1.4525901406159392e-06
40,67069,1.1593050658120774e-05,9.745049283083063e-06,1.8480012613508734e-06
40,67079,1.112589416152332e-05,8.435386007477064e-06,2.690507699298905e-06
40,67089,1.1388010534574278e-05,8.7476619228255e-06,2.6403488391224528e-06
40,67099,1.0614785423967987e-05,8.615418664703611e-06,1.9993665318907006e-06
40,67109,9.602506906958297e-06,8.297111889987718e-06,1.3053947895969031e-06
40,67119,1.073333896783879e-05,9.345758371637203e-06,1.3875805962015875e-06
40,67129,1.3950170796306338e-05,9.576403499522712e-06,4.373767296783626e-06
40,67139,1.0801995813380927e-05,9.283538929594215e-06,1.5184567700998741e-06
40,67149,1.4418510545510799e-05,1.0264640877721831e-05,4.153869213041617e-06
40,67159,1.057822100847261e-05,9.113153282669373e-06,1.465067498429562e-06
40,67169,9.093670996662695e-06,7.960348739288747e-06,1.1333220300002722e-06
40,67179,1.1583350897126365e-05,9.814126315177418e-06,1.7692249230094603e-06
40,67189,8.71853444550652e-06,7.801578249200247e-06,9.169560257760168e-07
40,67199,7.949513928906526e-06,7.204715075204149e-06,7.447989105457964e-07
40,67209,7.809422641003039e-06,7.215746336441953e-06,5.93676304561086e-07
